A340803000	安徽省安庆市大观区
A469021100	海南省定安县定安县
A469007100	海南省东方市东方市
A460106000	海南省海口市龙华区
A460108000	海南省海口市美兰区
A460107000	海南省海口市琼山区
A460105000	海南省海口市秀英区
A469027100	海南省乐东黎族自治县乐东黎族自治县
A469024100	海南省临高县临高县
A469028100	海南省陵水黎族自治县陵水黎族自治县
A469002100	海南省琼海市琼海市
A469030100	海南省琼中黎族苗族自治县琼中黎族苗族自治县
A469031002	海南省三沙市南沙群岛
A469031001	海南省三沙市西沙群岛
A469031003	海南省三沙市中沙群岛的岛礁及其海域
A460200010	海南省三亚市海棠区
A460200004	海南省三亚市吉阳区
A460200005	海南省三亚市天涯区
A460200002	海南省三亚市崖州区
A469022100	海南省屯昌县屯昌县
A469006100	海南省万宁市万宁市
A469005100	海南省文昌市文昌市
A469001100	海南省五指山市五指山市
A130683000	河北省保定市安国市
A130632000	河北省保定市安新县
A130637000	河北省保定市博野县
A130626000	河北省保定市定兴县
A130624000	河北省保定市阜平县
A130684000	河北省保定市高碑店市
A130628000	河北省保定市高阳县
A130602000	河北省保定市竞秀区
A130623000	河北省保定市涞水县
A130630000	河北省保定市涞源县
A130635000	河北省保定市蠡县
A130603000	河北省保定市莲池区
A130621000	河北省保定市满城区
A130622000	河北省保定市清苑区
A130634000	河北省保定市曲阳县
A130629000	河北省保定市容城县
A130636000	河北省保定市顺平县
A130627000	河北省保定市唐县
A130631000	河北省保定市望都县
A130638000	河北省保定市雄县
A130625000	河北省保定市徐水区
A130633000	河北省保定市易县
A130681000	河北省保定市涿州市
A130981000	河北省沧州市泊头市
A130921000	河北省沧州市沧县
A130923000	河北省沧州市东光县
A130924000	河北省沧州市海兴县
A130984000	河北省沧州市河间市
A130983000	河北省沧州市黄骅市
A130930000	河北省沧州市孟村回族自治县
A130927000	河北省沧州市南皮县
A130922000	河北省沧州市青县
A130982000	河北省沧州市任丘市
A130926000	河北省沧州市肃宁县
A130928000	河北省沧州市吴桥县
A130929000	河北省沧州市献县
A130902000	河北省沧州市新华区
A130925000	河北省沧州市盐山县
A130903000	河北省沧州市运河区
A130821000	河北省承德市承德县
A130826000	河北省承德市丰宁满族自治县
A130827000	河北省承德市宽城满族自治县
A130825000	河北省承德市隆化县
A130824000	河北省承德市滦平县
A130823000	河北省承德市平泉市
A130803000	河北省承德市双滦区
A130802000	河北省承德市双桥区
A130828000	河北省承德市围场满族蒙古族自治县
A130822000	河北省承德市兴隆县
A130804000	河北省承德市鹰手营子矿区
A130682100	河北省定州市定州市
A130424000	河北省邯郸市成安县
A130427000	河北省邯郸市磁县
A130403000	河北省邯郸市丛台区
A130425000	河北省邯郸市大名县
A130428000	河北省邯郸市肥乡区
A130406000	河北省邯郸市峰峰矿区
A130404000	河北省邯郸市复兴区
A130433000	河北省邯郸市馆陶县
A130432000	河北省邯郸市广平县
B130401000	河北省邯郸市邯郸经济开发区
A130402000	河北省邯郸市邯山区
A130431000	河北省邯郸市鸡泽县
A130423000	河北省邯郸市临漳县
A130430000	河北省邯郸市邱县
A130435000	河北省邯郸市曲周县
A130426000	河北省邯郸市涉县
A130434000	河北省邯郸市魏县
A130481000	河北省邯郸市武安市
A130429000	河北省邯郸市永年区
A131125000	河北省衡水市安平县
A131128000	河北省衡水市阜城县
A131126000	河北省衡水市故城县
A131181000	河北省衡水市冀州区
A131127000	河北省衡水市景县
A131124000	河北省衡水市饶阳县
A131182000	河北省衡水市深州市
A131102000	河北省衡水市桃城区
A131123000	河北省衡水市武强县
A131122000	河北省衡水市武邑县
A131121000	河北省衡水市枣强县
A131002000	河北省廊坊市安次区
A131081000	河北省廊坊市霸州市
A131028000	河北省廊坊市大厂回族自治县
A131025000	河北省廊坊市大城县
A131022000	河北省廊坊市固安县
A131003000	河北省廊坊市广阳区
A131082000	河北省廊坊市三河市
A131026000	河北省廊坊市文安县
A131024000	河北省廊坊市香河县
A131023000	河北省廊坊市永清县
A130304000	河北省秦皇岛市北戴河区
A130322000	河北省秦皇岛市昌黎县
A130323000	河北省秦皇岛市抚宁区
A130302000	河北省秦皇岛市海港区
A130324000	河北省秦皇岛市卢龙县
A130321000	河北省秦皇岛市青龙满族自治县
A130303000	河北省秦皇岛市山海关区
A130102000	河北省石家庄市长安区
A130127000	河北省石家庄市高邑县
A130182000	河北省石家庄市藁城区
A130183000	河北省石家庄市晋州市
A130107000	河北省石家庄市井陉矿区
A130121000	河北省石家庄市井陉县
A130126000	河北省石家庄市灵寿县
A130185000	河北省石家庄市鹿泉区
A130124000	河北省石家庄市栾城区
A130131000	河北省石家庄市平山县
A130104000	河北省石家庄市桥西区
A130128000	河北省石家庄市深泽县
A130130000	河北省石家庄市无极县
A130105000	河北省石家庄市新华区
A130184000	河北省石家庄市新乐市
A130125000	河北省石家庄市行唐县
A130108000	河北省石家庄市裕华区
A130132000	河北省石家庄市元氏县
A130129000	河北省石家庄市赞皇县
A130133000	河北省石家庄市赵县
A130123000	河北省石家庄市正定县
A130230000	河北省唐山市曹妃甸区
A130207000	河北省唐山市丰南区
A130208000	河北省唐山市丰润区
A130204000	河北省唐山市古冶区
A130205000	河北省唐山市开平区
A130225000	河北省唐山市乐亭县
A130203000	河北省唐山市路北区
A130202000	河北省唐山市路南区
A130224000	河北省唐山市滦南县
A130223000	河北省唐山市滦州市
A130283000	河北省唐山市迁安市
A130227000	河北省唐山市迁西县
A130229000	河北省唐山市玉田县
A130281000	河北省唐山市遵化市
A130181100	河北省辛集市辛集市
A130524000	河北省邢台市柏乡县
A130531000	河北省邢台市广宗县
A130529000	河北省邢台市巨鹿县
A130522000	河北省邢台市临城县
A130535000	河北省邢台市临西县
A130525000	河北省邢台市隆尧县
A130581000	河北省邢台市南宫市
A130527000	河北省邢台市南和县
A130523000	河北省邢台市内丘县
A130528000	河北省邢台市宁晋县
A130532000	河北省邢台市平乡县
A130502000	河北省邢台市桥东区
A130503000	河北省邢台市桥西区
A130534000	河北省邢台市清河县
A130526000	河北省邢台市任县
A130582000	河北省邢台市沙河市
A130533000	河北省邢台市威县
A130530000	河北省邢台市新河县
A130521000	河北省邢台市邢台县
A130732000	河北省张家口市赤城县
A130733000	河北省张家口市崇礼区
A130724000	河北省张家口市沽源县
A130728000	河北省张家口市怀安县
A130730000	河北省张家口市怀来县
A130723000	河北省张家口市康保县
A130702000	河北省张家口市桥东区
A130703000	河北省张家口市桥西区
A130725000	河北省张家口市尚义县
A130729000	河北省张家口市万全区
A130726000	河北省张家口市蔚县
A130706000	河北省张家口市下花园区
A130705000	河北省张家口市宣化区
A130727000	河北省张家口市阳原县
A130722000	河北省张家口市张北县
A130731000	河北省张家口市涿鹿县
A410522000	河南省安阳市安阳县
A410503000	河南省安阳市北关区
A410526000	河南省安阳市滑县
A410581000	河南省安阳市林州市
A410506000	河南省安阳市龙安区
A410527000	河南省安阳市内黄县
A410523000	河南省安阳市汤阴县
A410502000	河南省安阳市文峰区
A410505000	河南省安阳市殷都区
A410602000	河南省鹤壁市鹤山区
A410621000	河南省鹤壁市浚县
A410611000	河南省鹤壁市淇滨区
A410622000	河南省鹤壁市淇县
A410603000	河南省鹤壁市山城区
A419001100	河南省济源市济源市
A410822000	河南省焦作市博爱县
A410802000	河南省焦作市解放区
A410804000	河南省焦作市马村区
A410883000	河南省焦作市孟州市
A410882000	河南省焦作市沁阳市
A410811000	河南省焦作市山阳区
A410825000	河南省焦作市温县
A410823000	河南省焦作市武陟县
A410821000	河南省焦作市修武县
A410803000	河南省焦作市中站区
A410204000	河南省开封市鼓楼区
A410211000	河南省开封市金明区
A410225000	河南省开封市兰考县
A410202000	河南省开封市龙亭区
A410221000	河南省开封市杞县
A410203000	河南省开封市顺河回族区
A410222000	河南省开封市通许县
A410223000	河南省开封市尉氏县
A410224000	河南省开封市祥符区
A410205000	河南省开封市禹王台区
A410304000	河南省洛阳市瀍河回族区
A410306000	河南省洛阳市吉利区
A410305000	河南省洛阳市涧西区
A410302000	河南省洛阳市老城区
A410324000	河南省洛阳市栾川县
A410311000	河南省洛阳市洛龙区
A410328000	河南省洛阳市洛宁县
A410322000	河南省洛阳市孟津县
A410326000	河南省洛阳市汝阳县
A410325000	河南省洛阳市嵩县
A410303000	河南省洛阳市西工区
A410323000	河南省洛阳市新安县
A410381000	河南省洛阳市偃师市
A410329000	河南省洛阳市伊川县
A410327000	河南省洛阳市宜阳县
A411122000	河南省漯河市临颍县
A411121000	河南省漯河市舞阳县
A411103000	河南省漯河市郾城区
A411102000	河南省漯河市源汇区
A411104000	河南省漯河市召陵区
A411381000	河南省南阳市邓州市
A411322000	河南省南阳市方城县
A411321000	河南省南阳市南召县
A411325000	河南省南阳市内乡县
A411327000	河南省南阳市社旗县
A411328000	河南省南阳市唐河县
A411330000	河南省南阳市桐柏县
A411302000	河南省南阳市宛城区
A411303000	河南省南阳市卧龙区
A411323000	河南省南阳市西峡县
A411326000	河南省南阳市淅川县
A411329000	河南省南阳市新野县
A411324000	河南省南阳市镇平县
A410421000	河南省平顶山市宝丰县
A410425000	河南省平顶山市郏县
A410423000	河南省平顶山市鲁山县
A410482000	河南省平顶山市汝州市
A410404000	河南省平顶山市石龙区
A410403000	河南省平顶山市卫东区
A410481000	河南省平顶山市舞钢市
A410402000	河南省平顶山市新华区
A410422000	河南省平顶山市叶县
A410411000	河南省平顶山市湛河区
A410926000	河南省濮阳市范县
A410902000	河南省濮阳市华龙区
A410923000	河南省濮阳市南乐县
A410928000	河南省濮阳市濮阳县
A410922000	河南省濮阳市清丰县
A410927000	河南省濮阳市台前县
A411202000	河南省三门峡市湖滨区
A411282000	河南省三门峡市灵宝市
A411224000	河南省三门峡市卢氏县
A411222000	河南省三门峡市陕州区
A411221000	河南省三门峡市渑池县
A411281000	河南省三门峡市义马市
A411402000	河南省商丘市梁园区
A411421000	河南省商丘市民权县
A411423000	河南省商丘市宁陵县
A411422000	河南省商丘市睢县
A411403000	河南省商丘市睢阳区
A411426000	河南省商丘市夏邑县
A411481000	河南省商丘市永城市
A411425000	河南省商丘市虞城县
A411424000	河南省商丘市柘城县
A410728000	河南省新乡市长垣县
A410727000	河南省新乡市封丘县
A410704000	河南省新乡市凤泉区
A410702000	河南省新乡市红旗区
A410782000	河南省新乡市辉县市
A410724000	河南省新乡市获嘉县
A410711000	河南省新乡市牧野区
A410703000	河南省新乡市卫滨区
A410781000	河南省新乡市卫辉市
A410721000	河南省新乡市新乡县
A410726000	河南省新乡市延津县
A410725000	河南省新乡市原阳县
A411525000	河南省信阳市固始县
A411522000	河南省信阳市光山县
A411527000	河南省信阳市淮滨县
A411526000	河南省信阳市潢川县
A411521000	河南省信阳市罗山县
A411503000	河南省信阳市平桥区
A411524000	河南省信阳市商城县
A411502000	河南省信阳市浉河区
A411528000	河南省信阳市息县
A411523000	河南省信阳市新县
A411082000	河南省许昌市长葛市
A411023000	河南省许昌市建安区
A411002000	河南省许昌市魏都区
A411025000	河南省许昌市襄城县
A411024000	河南省许昌市鄢陵县
A411081000	河南省许昌市禹州市
A410185000	河南省郑州市登封市
A410103000	河南省郑州市二七区
B410103000	河南省郑州市高新区
A410181000	河南省郑州市巩义市
A410104000	河南省郑州市管城回族区
A410108000	河南省郑州市惠济区
A410105000	河南省郑州市金水区
A410106000	河南省郑州市上街区
A410183000	河南省郑州市新密市
A410184000	河南省郑州市新郑市
A410182000	河南省郑州市荥阳市
B410101000	河南省郑州市郑东新区
A410122000	河南省郑州市中牟县
A410102000	河南省郑州市中原区
A411602000	河南省周口市川汇区
A411625000	河南省周口市郸城县
A411621000	河南省周口市扶沟县
A411626000	河南省周口市淮阳县
A411628000	河南省周口市鹿邑县
A411623000	河南省周口市商水县
A411624000	河南省周口市沈丘县
A411627000	河南省周口市太康县
A411622000	河南省周口市西华县
A411681000	河南省周口市项城市
A411726000	河南省驻马店市泌阳县
A411723000	河南省驻马店市平舆县
A411725000	河南省驻马店市确山县
A411727000	河南省驻马店市汝南县
A411722000	河南省驻马店市上蔡县
A411728000	河南省驻马店市遂平县
A411721000	河南省驻马店市西平县
A411729000	河南省驻马店市新蔡县
A411702000	河南省驻马店市驿城区
A411724000	河南省驻马店市正阳县
A230606000	黑龙江省大庆市大同区
A230624000	黑龙江省大庆市杜尔伯特蒙古族自治县
A230605000	黑龙江省大庆市红岗区
A230623000	黑龙江省大庆市林甸县
A230603000	黑龙江省大庆市龙凤区
A230604000	黑龙江省大庆市让胡路区
A230602000	黑龙江省大庆市萨尔图区
A230622000	黑龙江省大庆市肇源县
A230621000	黑龙江省大庆市肇州县
A232721000	黑龙江省大兴安岭地区呼玛县
B232703000	黑龙江省大兴安岭地区呼中区
B232702000	黑龙江省大兴安岭地区加格达奇区
A232723000	黑龙江省大兴安岭地区漠河市
B232701000	黑龙江省大兴安岭地区松岭区
A232722000	黑龙江省大兴安岭地区塔河县
B232700000	黑龙江省大兴安岭地区新林区
A230112000	黑龙江省哈尔滨市阿城区
A230126000	黑龙江省哈尔滨市巴彦县
A230125000	黑龙江省哈尔滨市宾县
A230102000	黑龙江省哈尔滨市道里区
A230104000	黑龙江省哈尔滨市道外区
A230124000	黑龙江省哈尔滨市方正县
A230111000	黑龙江省哈尔滨市呼兰区
A230127000	黑龙江省哈尔滨市木兰县
A230103000	黑龙江省哈尔滨市南岗区
A230108000	黑龙江省哈尔滨市平房区
A230183000	黑龙江省哈尔滨市尚志市
A230182000	黑龙江省哈尔滨市双城区
A230109000	黑龙江省哈尔滨市松北区
A230128000	黑龙江省哈尔滨市通河县
A230184000	黑龙江省哈尔滨市五常市
A230110000	黑龙江省哈尔滨市香坊区
A230129000	黑龙江省哈尔滨市延寿县
A230123000	黑龙江省哈尔滨市依兰县
A230406000	黑龙江省鹤岗市东山区
A230403000	黑龙江省鹤岗市工农区
A230421000	黑龙江省鹤岗市萝北县
A230404000	黑龙江省鹤岗市南山区
A230422000	黑龙江省鹤岗市绥滨县
A230402000	黑龙江省鹤岗市向阳区
A230405000	黑龙江省鹤岗市兴安区
A230407000	黑龙江省鹤岗市兴山区
A231102000	黑龙江省黑河市爱辉区
A231181000	黑龙江省黑河市北安市
A231121000	黑龙江省黑河市嫩江县
A231124000	黑龙江省黑河市孙吴县
A231182000	黑龙江省黑河市五大连池市
A231123000	黑龙江省黑河市逊克县
A230306000	黑龙江省鸡西市城子河区
A230304000	黑龙江省鸡西市滴道区
A230303000	黑龙江省鸡西市恒山区
A230381000	黑龙江省鸡西市虎林市
A230321000	黑龙江省鸡西市鸡东县
A230302000	黑龙江省鸡西市鸡冠区
A230305000	黑龙江省鸡西市梨树区
A230307000	黑龙江省鸡西市麻山区
A230382000	黑龙江省鸡西市密山市
A230805000	黑龙江省佳木斯市东风区
A230833000	黑龙江省佳木斯市抚远市
A230882000	黑龙江省佳木斯市富锦市
A230826000	黑龙江省佳木斯市桦川县
A230822000	黑龙江省佳木斯市桦南县
A230811000	黑龙江省佳木斯市郊区
A230804000	黑龙江省佳木斯市前进区
A230828000	黑龙江省佳木斯市汤原县
A230881000	黑龙江省佳木斯市同江市
A230803000	黑龙江省佳木斯市向阳区
A231004000	黑龙江省牡丹江市爱民区
A231002000	黑龙江省牡丹江市东安区
A231024000	黑龙江省牡丹江市东宁市
A231083000	黑龙江省牡丹江市海林市
A231025000	黑龙江省牡丹江市林口县
A231085000	黑龙江省牡丹江市穆棱市
A231084000	黑龙江省牡丹江市宁安市
A231081000	黑龙江省牡丹江市绥芬河市
A231005000	黑龙江省牡丹江市西安区
A231003000	黑龙江省牡丹江市阳明区
A230921000	黑龙江省七台河市勃利县
A230904000	黑龙江省七台河市茄子河区
A230903000	黑龙江省七台河市桃山区
A230902000	黑龙江省七台河市新兴区
A230205000	黑龙江省齐齐哈尔市昂昂溪区
A230231000	黑龙江省齐齐哈尔市拜泉县
A230206000	黑龙江省齐齐哈尔市富拉尔基区
A230227000	黑龙江省齐齐哈尔市富裕县
A230225000	黑龙江省齐齐哈尔市甘南县
A230203000	黑龙江省齐齐哈尔市建华区
A230230000	黑龙江省齐齐哈尔市克东县
A230229000	黑龙江省齐齐哈尔市克山县
A230221000	黑龙江省齐齐哈尔市龙江县
A230202000	黑龙江省齐齐哈尔市龙沙区
A230208000	黑龙江省齐齐哈尔市梅里斯达斡尔族区
A230281000	黑龙江省齐齐哈尔市讷河市
A230207000	黑龙江省齐齐哈尔市碾子山区
A230224000	黑龙江省齐齐哈尔市泰来县
A230204000	黑龙江省齐齐哈尔市铁锋区
A230223000	黑龙江省齐齐哈尔市依安县
A230523000	黑龙江省双鸭山市宝清县
A230506000	黑龙江省双鸭山市宝山区
A230521000	黑龙江省双鸭山市集贤县
A230502000	黑龙江省双鸭山市尖山区
A230503000	黑龙江省双鸭山市岭东区
A230524000	黑龙江省双鸭山市饶河县
A230505000	黑龙江省双鸭山市四方台区
A230522000	黑龙江省双鸭山市友谊县
A231281000	黑龙江省绥化市安达市
A231202000	黑龙江省绥化市北林区
A231283000	黑龙江省绥化市海伦市
A231222000	黑龙江省绥化市兰西县
A231225000	黑龙江省绥化市明水县
A231223000	黑龙江省绥化市青冈县
A231224000	黑龙江省绥化市庆安县
A231226000	黑龙江省绥化市绥棱县
A231221000	黑龙江省绥化市望奎县
A231282000	黑龙江省绥化市肇东市
A230706000	黑龙江省伊春市翠峦区
A230713000	黑龙江省伊春市带岭区
A230715000	黑龙江省伊春市红星区
A230722000	黑龙江省伊春市嘉荫县
A230709000	黑龙江省伊春市金山屯区
A230708000	黑龙江省伊春市美溪区
A230703000	黑龙江省伊春市南岔区
A230716000	黑龙江省伊春市上甘岭区
A230712000	黑龙江省伊春市汤旺河区
A230781000	黑龙江省伊春市铁力市
A230711000	黑龙江省伊春市乌马河区
A230714000	黑龙江省伊春市乌伊岭区
A230710000	黑龙江省伊春市五营区
A230705000	黑龙江省伊春市西林区
A230707000	黑龙江省伊春市新青区
A230702000	黑龙江省伊春市伊春区
A230704000	黑龙江省伊春市友好区
A420704000	湖北省鄂州市鄂城区
A420703000	湖北省鄂州市华容区
A420702000	湖北省鄂州市梁子湖区
A422823000	湖北省恩施土家族苗族自治州巴东县
A422801000	湖北省恩施土家族苗族自治州恩施市
A422828000	湖北省恩施土家族苗族自治州鹤峰县
A422822000	湖北省恩施土家族苗族自治州建始县
A422827000	湖北省恩施土家族苗族自治州来凤县
A422802000	湖北省恩施土家族苗族自治州利川市
A422826000	湖北省恩施土家族苗族自治州咸丰县
A422825000	湖北省恩施土家族苗族自治州宣恩县
A421122000	湖北省黄冈市红安县
A421127000	湖北省黄冈市黄梅县
A421102000	湖北省黄冈市黄州区
A421123000	湖北省黄冈市罗田县
A421181000	湖北省黄冈市麻城市
A421126000	湖北省黄冈市蕲春县
A421121000	湖北省黄冈市团风县
A421182000	湖北省黄冈市武穴市
A421125000	湖北省黄冈市浠水县
A421124000	湖北省黄冈市英山县
A420281000	湖北省黄石市大冶市
A420202000	湖北省黄石市黄石港区
A420205000	湖北省黄石市铁山区
A420203000	湖北省黄石市西塞山区
A420204000	湖北省黄石市下陆区
A420222000	湖北省黄石市阳新县
A420802000	湖北省荆门市东宝区
A420804000	湖北省荆门市掇刀区
A420821000	湖北省荆门市京山市
A420822000	湖北省荆门市沙洋县
A420881000	湖北省荆门市钟祥市
A421022000	湖北省荆州市公安县
A421083000	湖北省荆州市洪湖市
A421023000	湖北省荆州市监利县
A421024000	湖北省荆州市江陵县
A421003000	湖北省荆州市荆州区
A421002000	湖北省荆州市沙市区
A421081000	湖北省荆州市石首市
A421087000	湖北省荆州市松滋市
A429005100	湖北省潜江市潜江市
A429021100	湖北省神农架林区神农架林区
A420381000	湖北省十堰市丹江口市
A420325000	湖北省十堰市房县
A420302000	湖北省十堰市茅箭区
A420322000	湖北省十堰市郧西县
A420321000	湖北省十堰市郧阳区
A420303000	湖北省十堰市张湾区
A420323000	湖北省十堰市竹山县
A420324000	湖北省十堰市竹溪县
A421381000	湖北省随州市广水市
A421321000	湖北省随州市随县
A421303000	湖北省随州市曾都区
A429006100	湖北省天门市天门市
A420114000	湖北省武汉市蔡甸区
A420112000	湖北省武汉市东西湖区
A420113000	湖北省武汉市汉南区
A420105000	湖北省武汉市汉阳区
A420111000	湖北省武汉市洪山区
A420116000	湖北省武汉市黄陂区
A420102000	湖北省武汉市江岸区
A420103000	湖北省武汉市江汉区
A420115000	湖北省武汉市江夏区
A420104000	湖北省武汉市硚口区
A420107000	湖北省武汉市青山区
A420106000	湖北省武汉市武昌区
A420117000	湖北省武汉市新洲区
A429004100	湖北省仙桃市仙桃市
A421281000	湖北省咸宁市赤壁市
A421223000	湖北省咸宁市崇阳县
A421221000	湖北省咸宁市嘉鱼县
A421222000	湖北省咸宁市通城县
A421224000	湖北省咸宁市通山县
A421202000	湖北省咸宁市咸安区
A420626000	湖北省襄阳市保康县
A420606000	湖北省襄阳市樊城区
A420625000	湖北省襄阳市谷城县
A420682000	湖北省襄阳市老河口市
A420624000	湖北省襄阳市南漳县
A420602000	湖北省襄阳市襄城区
A420607000	湖北省襄阳市襄州区
A420684000	湖北省襄阳市宜城市
A420683000	湖北省襄阳市枣阳市
A420982000	湖北省孝感市安陆市
A420922000	湖北省孝感市大悟县
A420984000	湖北省孝感市汉川市
A420921000	湖北省孝感市孝昌县
A420902000	湖北省孝感市孝南区
A420981000	湖北省孝感市应城市
A420923000	湖北省孝感市云梦县
A420528000	湖北省宜昌市长阳土家族自治县
A420582000	湖北省宜昌市当阳市
A420504000	湖北省宜昌市点军区
A420529000	湖北省宜昌市五峰土家族自治县
A420503000	湖北省宜昌市伍家岗区
A420502000	湖北省宜昌市西陵区
A420505000	湖北省宜昌市猇亭区
A420526000	湖北省宜昌市兴山县
A420506000	湖北省宜昌市夷陵区
A420581000	湖北省宜昌市宜都市
A420525000	湖北省宜昌市远安县
A420583000	湖北省宜昌市枝江市
A420527000	湖北省宜昌市秭归县
A430121000	湖南省长沙市长沙县
A430102000	湖南省长沙市芙蓉区
A430105000	湖南省长沙市开福区
A430181000	湖南省长沙市浏阳市
A430124000	湖南省长沙市宁乡市
A430103000	湖南省长沙市天心区
A430112000	湖南省长沙市望城区
A430111000	湖南省长沙市雨花区
A430104000	湖南省长沙市岳麓区
A430721000	湖南省常德市安乡县
A430703000	湖南省常德市鼎城区
A430722000	湖南省常德市汉寿县
A430781000	湖南省常德市津市市
A430723000	湖南省常德市澧县
A430724000	湖南省常德市临澧县
A430726000	湖南省常德市石门县
A430725000	湖南省常德市桃源县
A430702000	湖南省常德市武陵区
B430701000	湖南省常德市西洞庭管理区
B430700000	湖南省常德市西湖区
A431028000	湖南省郴州市安仁县
A431002000	湖南省郴州市北湖区
A431027000	湖南省郴州市桂东县
A431021000	湖南省郴州市桂阳县
A431024000	湖南省郴州市嘉禾县
A431025000	湖南省郴州市临武县
A431026000	湖南省郴州市汝城县
A431003000	湖南省郴州市苏仙区
A431022000	湖南省郴州市宜章县
A431023000	湖南省郴州市永兴县
A431081000	湖南省郴州市资兴市
A430482000	湖南省衡阳市常宁市
A430424000	湖南省衡阳市衡东县
A430422000	湖南省衡阳市衡南县
A430423000	湖南省衡阳市衡山县
A430421000	湖南省衡阳市衡阳县
A430481000	湖南省衡阳市耒阳市
A430412000	湖南省衡阳市南岳区
A430426000	湖南省衡阳市祁东县
A430407000	湖南省衡阳市石鼓区
A430406000	湖南省衡阳市雁峰区
A430408000	湖南省衡阳市蒸湘区
A430405000	湖南省衡阳市珠晖区
A431223000	湖南省怀化市辰溪县
A431202000	湖南省怀化市鹤城区
A431281000	湖南省怀化市洪江市
A431225000	湖南省怀化市会同县
A431229000	湖南省怀化市靖州苗族侗族自治县
A431226000	湖南省怀化市麻阳苗族自治县
A431230000	湖南省怀化市通道侗族自治县
A431227000	湖南省怀化市新晃侗族自治县
A431224000	湖南省怀化市溆浦县
A431222000	湖南省怀化市沅陵县
A431228000	湖南省怀化市芷江侗族自治县
A431221000	湖南省怀化市中方县
A431381000	湖南省娄底市冷水江市
A431382000	湖南省娄底市涟源市
A431302000	湖南省娄底市娄星区
A431321000	湖南省娄底市双峰县
A431322000	湖南省娄底市新化县
A430511000	湖南省邵阳市北塔区
A430529000	湖南省邵阳市城步苗族自治县
A430503000	湖南省邵阳市大祥区
A430525000	湖南省邵阳市洞口县
A430524000	湖南省邵阳市隆回县
A430521000	湖南省邵阳市邵东县
A430523000	湖南省邵阳市邵阳县
A430502000	湖南省邵阳市双清区
A430527000	湖南省邵阳市绥宁县
A430581000	湖南省邵阳市武冈市
A430528000	湖南省邵阳市新宁县
A430522000	湖南省邵阳市新邵县
A430382000	湖南省湘潭市韶山市
A430321000	湖南省湘潭市湘潭县
A430381000	湖南省湘潭市湘乡市
A430302000	湖南省湘潭市雨湖区
A430304000	湖南省湘潭市岳塘区
A433125000	湖南省湘西土家族苗族自治州保靖县
A433123000	湖南省湘西土家族苗族自治州凤凰县
A433126000	湖南省湘西土家族苗族自治州古丈县
A433124000	湖南省湘西土家族苗族自治州花垣县
A433101000	湖南省湘西土家族苗族自治州吉首市
A433130000	湖南省湘西土家族苗族自治州龙山县
A433122000	湖南省湘西土家族苗族自治州泸溪县
A433127000	湖南省湘西土家族苗族自治州永顺县
A430923000	湖南省益阳市安化县
B430900000	湖南省益阳市大通湖区
A430903000	湖南省益阳市赫山区
A430921000	湖南省益阳市南县
A430922000	湖南省益阳市桃江县
A430981000	湖南省益阳市沅江市
A430902000	湖南省益阳市资阳区
A431124000	湖南省永州市道县
A431122000	湖南省永州市东安县
A431129000	湖南省永州市江华瑶族自治县
A431125000	湖南省永州市江永县
B431100000	湖南省永州市金洞管理区
A431127000	湖南省永州市蓝山县
A431103000	湖南省永州市冷水滩区
A431102000	湖南省永州市零陵区
A431126000	湖南省永州市宁远县
A431121000	湖南省永州市祁阳县
A431123000	湖南省永州市双牌县
A431128000	湖南省永州市新田县
A430623000	湖南省岳阳市华容县
A430611000	湖南省岳阳市君山区
A430682000	湖南省岳阳市临湘市
A430681000	湖南省岳阳市汨罗市
A430626000	湖南省岳阳市平江县
B430600000	湖南省岳阳市屈原管理区
A430624000	湖南省岳阳市湘阴县
B430601000	湖南省岳阳市岳阳经济技术开发区
A430602000	湖南省岳阳市岳阳楼区
A430621000	湖南省岳阳市岳阳县
A430603000	湖南省岳阳市云溪区
A430821000	湖南省张家界市慈利县
A430822000	湖南省张家界市桑植县
A430811000	湖南省张家界市武陵源区
A430802000	湖南省张家界市永定区
A430224000	湖南省株洲市茶陵县
A430202000	湖南省株洲市荷塘区
A430281000	湖南省株洲市醴陵市
A430203000	湖南省株洲市芦淞区
A430221000	湖南省株洲市渌口区
A430204000	湖南省株洲市石峰区
A430211000	湖南省株洲市天元区
A430225000	湖南省株洲市炎陵县
A430223000	湖南省株洲市攸县
B430201000	湖南省株洲市云龙示范区
A220882000	吉林省白城市大安市
A220802000	吉林省白城市洮北区
A220881000	吉林省白城市洮南市
A220822000	吉林省白城市通榆县
A220821000	吉林省白城市镇赉县
A220623000	吉林省白山市长白朝鲜族自治县
A220621000	吉林省白山市抚松县
A220602000	吉林省白山市浑江区
A220605000	吉林省白山市江源区
A220622000	吉林省白山市靖宇县
A220681000	吉林省白山市临江市
B220100000	吉林省长春市长春汽车产业开发区
A220104000	吉林省长春市朝阳区
A220183000	吉林省长春市德惠市
A220105000	吉林省长春市二道区
B220102000	吉林省长春市经济技术产业开发区
B220101000	吉林省长春市净月高新技术产业开发区
A220181000	吉林省长春市九台区
A220103000	吉林省长春市宽城区
A220106000	吉林省长春市绿园区
A220102000	吉林省长春市南关区
A220122000	吉林省长春市农安县
A220112000	吉林省长春市双阳区
A220182000	吉林省长春市榆树市
A220202000	吉林省吉林市昌邑区
A220204000	吉林省吉林市船营区
A220211000	吉林省吉林市丰满区
A220282000	吉林省吉林市桦甸市
